Comment,Description,Designator,Footprint,LibRef,Quantity

"3.3pF (3R3) 0.25pF 50V","贴片电容","C1_F1, C1_F2, C1_F3, C1_F4, C1_F5, C1_F6, C1_F7, C1_F8, C3_F1, C3_F2, C3_F3, C3_F4, C3_F5, C3_F6, C3_F7, C3_F8","0402_C","0402 3.3pF (3R3) 0.25pF 50V","16"
"27pF (270) 5% 50V","贴片电容","C2_F1, C2_F2, C2_F3, C2_F4, C2_F5, C2_F6, C2_F7, C2_F8, C4_F1, C4_F2, C4_F3, C4_F4, C4_F5, C4_F6, C4_F7, C4_F8","0402_C","0402 27pF (270) 5% 50V","16"
"10nF (103) 10% 50V","贴片电容","C5_F1, C5_F2, C5_F3, C5_F4, C5_F5, C5_F6, C5_F7, C5_F8, C8_DS1, C8_DS2, C8_DS3, C8_DS4","0402_C","0402 10nF (103) 10% 50V","12"
"100nF (104) 10% 16V","贴片电容","C6_F1, C6_F2, C6_F3, C6_F4, C6_F5, C6_F6, C6_F7, C6_F8, C7_F1, C7_F2, C7_F3, C7_F4, C7_F5, C7_F6, C7_F7, C7_F8, C9_DS1, C9_DS2, C9_DS3, C9_DS4","0402_C","0402 100nF (104) 10% 16V","20"
"22uF (226) 20% 25V","贴片电容","C10, C12, C13","0805_C","0805 22uF (226) 20% 25V","3"
"2.2uF (225) 10% 16V","贴片电容","C11","0603_C","0603 2.2uF (225) 10% 16V","1"
"1N4148WS T4","二极管","D1_F1, D1_F2, D1_F3, D1_F4, D1_F5, D1_F6, D1_F7, D1_F8, D2_F1, D2_F2, D2_F3, D2_F4, D2_F5, D2_F6, D2_F7, D2_F8","SOD-323","SOD-323 1N4148WS T4","16"
"Header 25X2H","Header, 25-Pin, Dual row, Right Angle","P1","HDR2X25H","Header 25X2H","1"
"Header 16X2H","Header, 16-Pin, Dual row, Right Angle","P2","HDR2X16H","Header 16X2H","1"
"BSS84LT1G","MOS(场效应管)","Q1_F1, Q1_F2, Q1_F3, Q1_F4, Q1_F5, Q1_F6, Q1_F7, Q1_F8, Q2_F1, Q2_F2, Q2_F3, Q2_F4, Q2_F5, Q2_F6, Q2_F7, Q2_F8","SOT-23(SOT-23-3)","BSS84LT1G","16"
"499Ω (499) ±1%","贴片电阻","R1_F1, R1_F2, R1_F3, R1_F4, R1_F5, R1_F6, R1_F7, R1_F8, R5_F1, R5_F2, R5_F3, R5_F4, R5_F5, R5_F6, R5_F7, R5_F8","0402_R","0402 49.9Ω (49R9) 1%","16"
"300Ω (3000) ±1%","贴片电阻","R2_F1, R2_F2, R2_F3, R2_F4, R2_F5, R2_F6, R2_F7, R2_F8, R6_F1, R6_F2, R6_F3, R6_F4, R6_F5, R6_F6, R6_F7, R6_F8","0402_R","0402 300Ω (3000) 1%","16"
"90.9KΩ (9092) ±1%","贴片电阻","R3_F1, R3_F2, R3_F3, R3_F4, R3_F5, R3_F6, R3_F7, R3_F8, R7_F1, R7_F2, R7_F3, R7_F4, R7_F5, R7_F6, R7_F7, R7_F8","0402_R","0402 8.2KΩ (8201) 1%","16"
"10KΩ (1002) ±1%","贴片电阻","R4_F1, R4_F2, R4_F3, R4_F4, R4_F5, R4_F6, R4_F7, R4_F8, R8_F1, R8_F2, R8_F3, R8_F4, R8_F5, R8_F6, R8_F7, R8_F8","0402_R","0402 10KΩ (1002) 1%","16"
"TLV3502AIDR","","U1_F1, U1_F2, U1_F3, U1_F4, U1_F5, U1_F6, U1_F7, U1_F8","SOIC-8_150mil","TLV3502AIDR","8"
"SN65LVDS31PWR","","U2_DS1, U2_DS2, U2_DS3, U2_DS4","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL","SN65LVDS31PWR","4"
"XC6206P332MR","低压差线性稳压(LDO)","VR1","SOT-23-3L","SOT-23 XC6206P332MR","1"
