Altium Designer Pick and Place Locations
C:\Users\zhangyx\Documents\mso5000_la_probe\Project Outputs for LA_Probe\Pick Place for probe.csv

========================================================================================================================
File Design Information:

Date:       30/05/20
Time:       17:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1_F1","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","42.7990","9.1000","90","贴片电容"
"C1_F2","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","36.9570","24.5110","90","贴片电容"
"C1_F3","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","29.5910","9.1440","90","贴片电容"
"C1_F4","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","23.8760","24.5110","90","贴片电容"
"C1_F5","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","16.5100","9.1000","90","贴片电容"
"C1_F6","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","10.9220","24.6380","90","贴片电容"
"C1_F7","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","3.3020","9.1000","90","贴片电容"
"C1_F8","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","-2.2860","24.5990","90","贴片电容"
"C2_F1","27pF (270) 5% 50V","TopLayer","0402_C","45.5930","9.0560","90","贴片电容"
"C2_F2","27pF (270) 5% 50V","TopLayer","0402_C","39.7510","24.4670","90","贴片电容"
"C2_F3","27pF (270) 5% 50V","TopLayer","0402_C","32.3850","9.1000","90","贴片电容"
"C2_F4","27pF (270) 5% 50V","TopLayer","0402_C","26.6700","24.4670","90","贴片电容"
"C2_F5","27pF (270) 5% 50V","TopLayer","0402_C","19.3040","9.0560","90","贴片电容"
"C2_F6","27pF (270) 5% 50V","TopLayer","0402_C","13.7160","24.5940","90","贴片电容"
"C2_F7","27pF (270) 5% 50V","TopLayer","0402_C","6.0960","9.0560","90","贴片电容"
"C2_F8","27pF (270) 5% 50V","TopLayer","0402_C","0.5080","24.5550","90","贴片电容"
"C3_F1","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","38.4810","9.0560","90","贴片电容"
"C3_F2","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","32.6390","24.4670","90","贴片电容"
"C3_F3","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","25.2730","9.1000","90","贴片电容"
"C3_F4","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","19.5580","24.4670","90","贴片电容"
"C3_F5","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","12.1920","9.0560","90","贴片电容"
"C3_F6","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","6.6040","24.5940","90","贴片电容"
"C3_F7","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","-1.0160","9.0560","90","贴片电容"
"C3_F8","3.3pF (3R3) 0.25pF 50V","TopLayer","0402_C","-6.6040","24.5550","90","贴片电容"
"C4_F1","27pF (270) 5% 50V","TopLayer","0402_C","41.2750","9.1000","90","贴片电容"
"C4_F2","27pF (270) 5% 50V","TopLayer","0402_C","35.4330","24.5110","90","贴片电容"
"C4_F3","27pF (270) 5% 50V","TopLayer","0402_C","28.0670","9.1440","90","贴片电容"
"C4_F4","27pF (270) 5% 50V","TopLayer","0402_C","22.3520","24.5110","90","贴片电容"
"C4_F5","27pF (270) 5% 50V","TopLayer","0402_C","14.9860","9.1000","90","贴片电容"
